2024-05-16_23-59-24,./templates/recordings/korl_kmco_app_120150/2024-05-16_23-59-24.mp3,.
2024-05-17_03-12-21,./templates/recordings/korl_kmco_app_120150/2024-05-17_03-12-21.mp3," Barcettian Cinna 2473, 1 1 by squabbing 7000"
2024-05-17_03-12-32,./templates/recordings/korl_kmco_app_120150/2024-05-17_03-12-32.mp3, turning 240 and climb 116000 right into 47 acres
2024-05-17_03-13-24,./templates/recordings/korl_kmco_app_120150/2024-05-17_03-13-24.mp3," Roger in 27, there are no use in 24 7"
2024-05-17_03-14-51,./templates/recordings/korl_kmco_app_120150/2024-05-17_03-14-51.mp3, Turned Calfoury's up in 24W3
2024-05-17_03-17-01,./templates/recordings/korl_kmco_app_120150/2024-05-17_03-17-01.mp3, 357524SP
2024-05-17_04-35-17,./templates/recordings/korl_kmco_app_120150/2024-05-17_04-35-17.mp3, S.
2024-05-17_04-35-18,./templates/recordings/korl_kmco_app_120150/2024-05-17_04-35-18.mp3, Thanks for watching.
2024-05-17_04-53-40,./templates/recordings/korl_kmco_app_120150/2024-05-17_04-53-40.mp3,.
2024-05-17_04-57-47,./templates/recordings/korl_kmco_app_120150/2024-05-17_04-57-47.mp3, Thanks for watching!
2024-05-17_05-00-00,./templates/recordings/korl_kmco_app_120150/2024-05-17_05-00-00.mp3, Thanks for watching!
2024-05-17_05-00-23,./templates/recordings/korl_kmco_app_120150/2024-05-17_05-00-23.mp3, Thanks for watching!
2024-05-17_05-01-59,./templates/recordings/korl_kmco_app_120150/2024-05-17_05-01-59.mp3," Man, I'm not going to go there."
2024-05-17_05-02-01,./templates/recordings/korl_kmco_app_120150/2024-05-17_05-02-01.mp3," The Force is on the right side of the Force, and the Force is on the right side of the Force, and the Force is on the right side of the Force, and the Force is on the right side of the Force, and the Force is on the right side of the Force, and the Force is on the right side of the Force, and the Force is on the right side of the Force, and the Force is on the right side of the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force, and the Force"
2024-05-17_05-02-24,./templates/recordings/korl_kmco_app_120150/2024-05-17_05-02-24.mp3, Thanks for watching!
2024-05-17_05-02-44,./templates/recordings/korl_kmco_app_120150/2024-05-17_05-02-44.mp3, Thanks for watching!
